code5	pop
13000	13849942
13100	9593732
13101	74155
13102	160015
13103	282492
13104	340163
13105	232669
13106	217266
13107	263423
13108	535126
13109	407424
13110	285822
13111	736944
13112	920973
13113	245158
13114	339059
13115	574675
13116	297127
13117	347151
13118	217799
13119	586853
13120	731696
13121	669225
13122	443351
13123	685166
13500	4256210
13200	4173728
13201	570239
13202	175846
13203	149153
13204	187396
13205	134294
13206	263827
13207	109901
13208	232735
13209	436387
13210	123922
13211	192765
13212	192183
13213	145858
13214	124920
13215	73873
13218	56739
13219	81514
13220	86097
13221	75787
13222	116276
13223	71425
13224	144898
13225	90205
13227	54347
13228	80733
13229	202408
13300	57540
13303	33269
13305	17781
13307	1927
13308	4563
13350	24942
13360	12055
13361	7241
13362	335
13363	2599
13364	1880
13380	2587
13381	2266
13382	321
13400	7105
13401	6931
13402	174
13420	3195
13421	3195
